Annotation accession	Annotation status	Annotation type	Genome assembly	Experiment accession	Experiment status	Description	Biosample summary	Biosample term name	Biosample classification	Assay name	Perturbed	observed signal profile (minus strand)	training and test regions	observed signal profile (plus strand)	models	selected regions for predicted signal and sequence contribution scores	profile sequence contribution scores	counts sequence contribution scores	predicted signal profile	normalized observed signal profile (plus strand)	normalized observed signal profile (minus strand)	observed control profile (plus strand)	observed control profile (minus strand)	alignments	unfiltered alignments	sequence motifs	sequence motifs instances	sequence motifs report	predicted signal profile (plus strand)	predicted signal profile (minus strand)	normalized predicted signal profile (plus strand)	normalized predicted signal profile (minus strand)	bidirectional peaks	unidirectional peaks
ENCSR904MLP	in progress	BPNet-model	GRCh38	ENCSR773REP	released	eGFP-ZBTB7A ChIP-seq on human HEK293 cells.	Homo sapiens HEK293 genetically modified (insertion) using site-specific recombination targeting H. sapiens ZBTB7A	HEK293	cell line	ChIP-seq	false	['ENCFF427NIT.bigWig']	['ENCFF649DVP.tar.gz']	['ENCFF389YNG.bigWig']	['ENCFF660IXC.tar.gz']	['ENCFF394ZKS.bed.gz', 'ENCFF525OJC.bigBed']	['ENCFF784IFU.bigWig', 'ENCFF533XTA.tar.gz']	['ENCFF502HPC.bigWig', 'ENCFF189XJH.tar.gz']	['ENCFF155KHO.tar.gz']	['ENCFF754HWW.bigWig']	['ENCFF735HKD.bigWig']	['ENCFF608HYG.bigWig']	['ENCFF090KUY.bigWig']	['ENCFF421CTJ.bam', 'ENCFF559CGO.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR599LVY	in progress	BPNet-model	GRCh38	ENCSR479QAJ	released	U2AF2 ChIP-seq in K562	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF464SFB.bigWig']	['ENCFF662JRO.tar.gz']	['ENCFF426GRD.bigWig']	['ENCFF724OUL.tar.gz']	['ENCFF561MRX.bed.gz', 'ENCFF727PMM.bigBed']	['ENCFF550JGJ.bigWig', 'ENCFF256JZQ.tar.gz']	['ENCFF964ZMO.bigWig', 'ENCFF464TGQ.tar.gz']	['ENCFF868ZEG.tar.gz']	['ENCFF122VOJ.bigWig']	['ENCFF469OAB.bigWig']	['ENCFF986PYY.bigWig']	['ENCFF112PTE.bigWig']	[]	['ENCFF946DRU.bam', 'ENCFF417CLS.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR886BQG	in progress	BPNet-model	GRCh38	ENCSR130HEG	released	COPS2 ChIP-seq on human K562	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF463KJG.bigWig']	['ENCFF744IQI.tar.gz']	['ENCFF033TYJ.bigWig']	['ENCFF046ENT.tar.gz']	['ENCFF422HKU.bed.gz', 'ENCFF108MQK.bigBed']	['ENCFF380YON.bigWig', 'ENCFF919FLW.tar.gz']	['ENCFF206YBE.bigWig', 'ENCFF361CEO.tar.gz']	['ENCFF163GZH.tar.gz']	['ENCFF278BBP.bigWig']	['ENCFF056DHJ.bigWig']	['ENCFF564YAI.bigWig']	['ENCFF540QKI.bigWig']	['ENCFF027ZMW.bam', 'ENCFF882PRX.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR216PMI	in progress	BPNet-model	GRCh38	ENCSR000EBT	released	CHD2 ChIP-seq on human H1-hESC produced by the Snyder lab	Homo sapiens H1	H1	cell line	ChIP-seq	false	['ENCFF331YJF.bigWig']	['ENCFF202CGZ.tar.gz']	['ENCFF472WMO.bigWig']	['ENCFF428ULK.tar.gz']	['ENCFF522GJH.bed.gz', 'ENCFF764QLW.bigBed']	['ENCFF116YXB.bigWig', 'ENCFF143IUU.tar.gz']	['ENCFF883UOV.bigWig', 'ENCFF347LGG.tar.gz']	['ENCFF619LKY.tar.gz']	['ENCFF797ZRZ.bigWig']	['ENCFF818PMV.bigWig']	['ENCFF475GOO.bigWig']	['ENCFF717PXN.bigWig']	[]	['ENCFF778OCR.bam', 'ENCFF848MJR.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR974JST	in progress	BPNet-model	GRCh38	ENCSR948KMB	released	PTBP1 ChIP-seq in K562	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF703OIB.bigWig']	['ENCFF812QFR.tar.gz']	['ENCFF770FRZ.bigWig']	['ENCFF940HKJ.tar.gz']	['ENCFF625PBL.bed.gz', 'ENCFF537MAB.bigBed']	['ENCFF564CMV.bigWig', 'ENCFF492WLX.tar.gz']	['ENCFF554SHD.bigWig', 'ENCFF333AVU.tar.gz']	['ENCFF392SGJ.tar.gz']	['ENCFF510HGO.bigWig']	['ENCFF511FCZ.bigWig']	['ENCFF879ZND.bigWig']	['ENCFF109MWI.bigWig']	[]	['ENCFF793PWA.bam', 'ENCFF309BVY.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR711RFA	in progress	BPNet-model	GRCh38	ENCSR000EGW	released	SMC3 ChIP-seq on human K562	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF705XXI.bigWig']	['ENCFF840SOM.tar.gz']	['ENCFF307TTH.bigWig']	['ENCFF562HSI.tar.gz']	['ENCFF242JQL.bed.gz', 'ENCFF595FWO.bigBed']	['ENCFF057RKY.bigWig', 'ENCFF422AOO.tar.gz']	['ENCFF031AJH.bigWig', 'ENCFF659VEA.tar.gz']	['ENCFF081DBO.tar.gz']	['ENCFF499KGH.bigWig']	['ENCFF152XYD.bigWig']	['ENCFF360UUC.bigWig']	['ENCFF015GIS.bigWig']	[]	['ENCFF647RGZ.bam', 'ENCFF043EGZ.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR071UKS	in progress	BPNet-model	GRCh38	ENCSR468LUO	released	SIN3A ChIP-seq on human MCF-7	Homo sapiens MCF-7	MCF-7	cell line	ChIP-seq	false	['ENCFF721AAD.bigWig']	['ENCFF476TUY.tar.gz']	['ENCFF192OQD.bigWig']	['ENCFF643TWF.tar.gz']	['ENCFF967FIC.bed.gz', 'ENCFF071BMO.bigBed']	['ENCFF209PSG.bigWig', 'ENCFF874VGM.tar.gz']	['ENCFF894PFW.bigWig', 'ENCFF292RZR.tar.gz']	['ENCFF339MBW.tar.gz']	['ENCFF362HKK.bigWig']	['ENCFF196CKZ.bigWig']	['ENCFF955APV.bigWig']	['ENCFF858IEM.bigWig']	['ENCFF759JJN.bam', 'ENCFF153GCR.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR114STH	in progress	BPNet-model	GRCh38	ENCSR532KTI	released	eGFP-GTF2E2 ChIP-seq on human K562	Homo sapiens K562 stably expressing GTF2E2	K562	cell line	ChIP-seq	false	['ENCFF268JVT.bigWig']	['ENCFF540MWB.tar.gz']	['ENCFF600MHS.bigWig']	['ENCFF484RGP.tar.gz']	['ENCFF263YED.bed.gz', 'ENCFF330SJU.bigBed']	['ENCFF607FAT.bigWig', 'ENCFF978ZBI.tar.gz']	['ENCFF387ZBY.bigWig', 'ENCFF607TVL.tar.gz']	['ENCFF978IOH.tar.gz']	['ENCFF031TET.bigWig']	['ENCFF455WDE.bigWig']	['ENCFF635CTB.bigWig']	['ENCFF054DMU.bigWig']	[]	['ENCFF634WZV.bam', 'ENCFF276GJS.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR135TUA	in progress	BPNet-model	GRCh38	ENCSR119OFH	released	BRCA2 ChIP-seq on human MCF-7	Homo sapiens MCF-7 genetically modified (insertion) using CRISPR targeting H. sapiens BRCA2	MCF-7	cell line	ChIP-seq	false	['ENCFF667JPX.bigWig']	['ENCFF199RJE.tar.gz']	['ENCFF838DRP.bigWig']	['ENCFF841YDU.tar.gz']	['ENCFF903BNG.bed.gz', 'ENCFF244MUD.bigBed']	['ENCFF909FHF.bigWig', 'ENCFF360MFB.tar.gz']	['ENCFF769NDY.bigWig', 'ENCFF105BVS.tar.gz']	['ENCFF906FCF.tar.gz']	['ENCFF791CYR.bigWig']	['ENCFF461TAX.bigWig']	['ENCFF067HTR.bigWig']	['ENCFF897BVV.bigWig']	['ENCFF307KQS.bam', 'ENCFF015LOS.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR486WVP	in progress	BPNet-model	GRCh38	ENCSR096KPA	released		Homo sapiens GM23248	GM23248	cell line	ChIP-seq	false	['ENCFF426DHO.bigWig']	['ENCFF498LHW.tar.gz']	['ENCFF981SIC.bigWig']	['ENCFF541MJQ.tar.gz']	['ENCFF739UVL.bed.gz', 'ENCFF478MWW.bigBed']	['ENCFF869IGE.bigWig', 'ENCFF104MAS.tar.gz']	['ENCFF795RIR.bigWig', 'ENCFF084WUO.tar.gz']	['ENCFF152DUN.tar.gz']	['ENCFF262TEN.bigWig']	['ENCFF083TQJ.bigWig']	['ENCFF342BEO.bigWig']	['ENCFF724VNV.bigWig']	[]	['ENCFF400JQO.bam', 'ENCFF700WAA.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR323XGP	in progress	BPNet-model	GRCh38	ENCSR956LGB	released	RAD21 ChIP-seq on A549 cell line treated with 100 nM dexamethasone for 1 hours.	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 1 hour	A549	cell line	ChIP-seq	true	['ENCFF024PHO.bigWig']	['ENCFF466SBL.tar.gz']	['ENCFF263FKB.bigWig']	['ENCFF647XWB.tar.gz']	['ENCFF427EVL.bed.gz', 'ENCFF018VSX.bigBed']	['ENCFF942ZKJ.bigWig', 'ENCFF032FND.tar.gz']	['ENCFF008QUA.bigWig', 'ENCFF139MKB.tar.gz']	['ENCFF872NTK.tar.gz']	['ENCFF135XZQ.bigWig']	['ENCFF228XAB.bigWig']	['ENCFF818ALN.bigWig']	['ENCFF506CGS.bigWig']	[]	['ENCFF113QWK.bam', 'ENCFF280YXK.bam', 'ENCFF886TVY.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR706XSR	in progress	BPNet-model	GRCh38	ENCSR872ZHM	released		Homo sapiens HepG2	HepG2	cell line	ChIP-seq	false	['ENCFF736NOO.bigWig']	['ENCFF170XMA.tar.gz']	['ENCFF825KVV.bigWig']	['ENCFF301EMA.tar.gz']	['ENCFF774QNC.bed.gz', 'ENCFF125WSF.bigBed']	['ENCFF705GUB.bigWig', 'ENCFF498WMP.tar.gz']	['ENCFF013ZVN.bigWig', 'ENCFF479CCS.tar.gz']	['ENCFF546QOY.tar.gz']	['ENCFF698IAW.bigWig']	['ENCFF780PWV.bigWig']	['ENCFF606QVN.bigWig']	['ENCFF301JVF.bigWig']	[]	['ENCFF326PXA.bam', 'ENCFF519EAG.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR644OEE	in progress	BPNet-model	GRCh38	ENCSR193ADW	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens SETDB1	HepG2	cell line	ChIP-seq	false	['ENCFF248TCE.bigWig']	['ENCFF667PZC.tar.gz']	['ENCFF814KEY.bigWig']	['ENCFF434ODU.tar.gz']	['ENCFF205WFT.bed.gz', 'ENCFF404PXX.bigBed']	['ENCFF375TIV.bigWig', 'ENCFF818BCZ.tar.gz']	['ENCFF446PVR.bigWig', 'ENCFF942WRJ.tar.gz']	['ENCFF369XSH.tar.gz']	['ENCFF782DPF.bigWig']	['ENCFF269CDQ.bigWig']	['ENCFF637IJL.bigWig']	['ENCFF240LXU.bigWig']	[]	['ENCFF971ZPQ.bam', 'ENCFF742CFZ.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR526JWP	in progress	BPNet-model	GRCh38	ENCSR000ECS	released	SMC3 ChIP-seq on human HeLa-S3	Homo sapiens HeLa-S3	HeLa-S3	cell line	ChIP-seq	false	['ENCFF725GCU.bigWig']	['ENCFF046POQ.tar.gz']	['ENCFF321RSE.bigWig']	['ENCFF584ZWB.tar.gz']	['ENCFF518HYS.bed.gz', 'ENCFF963SOQ.bigBed']	['ENCFF524ICY.bigWig', 'ENCFF811RNB.tar.gz']	['ENCFF415BWJ.bigWig', 'ENCFF134EFR.tar.gz']	['ENCFF905IUT.tar.gz']	['ENCFF641YEL.bigWig']	['ENCFF497ILE.bigWig']	['ENCFF381SHR.bigWig']	['ENCFF069WKV.bigWig']	[]	['ENCFF315WKN.bam', 'ENCFF833ALP.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR201CWT	in progress	BPNet-model	GRCh38	ENCSR096KWU	released	ZNF207 ChIP-seq on human MCF-7	Homo sapiens MCF-7	MCF-7	cell line	ChIP-seq	false	['ENCFF377SOY.bigWig']	['ENCFF208IMC.tar.gz']	['ENCFF076FSV.bigWig']	['ENCFF752GWY.tar.gz']	['ENCFF547XRS.bed.gz', 'ENCFF796YAG.bigBed']	['ENCFF895SOB.bigWig', 'ENCFF299HSN.tar.gz']	['ENCFF916EMN.bigWig', 'ENCFF297VDV.tar.gz']	['ENCFF373YBT.tar.gz']	['ENCFF987EDB.bigWig']	['ENCFF432MZS.bigWig']	['ENCFF533JPZ.bigWig']	['ENCFF004PFE.bigWig']	['ENCFF340BYQ.bam', 'ENCFF215YQB.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR448RTB	in progress	BPNet-model	GRCh38	ENCSR822LBD	released	RBFOX2 ChIP-seq in K562	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF290TNC.bigWig']	['ENCFF572PGG.tar.gz']	['ENCFF884LXA.bigWig']	['ENCFF698UTI.tar.gz']	['ENCFF924AHR.bed.gz', 'ENCFF866MPL.bigBed']	['ENCFF874EYJ.bigWig', 'ENCFF159VHS.tar.gz']	['ENCFF489OES.bigWig', 'ENCFF215QLH.tar.gz']	['ENCFF282WED.tar.gz']	['ENCFF372OOB.bigWig']	['ENCFF513MNY.bigWig']	['ENCFF879ZND.bigWig']	['ENCFF109MWI.bigWig']	[]	['ENCFF665GUF.bam', 'ENCFF345RZC.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR901VYQ	in progress	BPNet-model	GRCh38	ENCSR000DMT	released	POLR2A ChIP-seq on human MCF-7	Homo sapiens MCF-7	MCF-7	cell line	ChIP-seq	false	['ENCFF379PCF.bigWig']	['ENCFF789OXC.tar.gz']	['ENCFF506UKB.bigWig']	['ENCFF751BGN.tar.gz']	['ENCFF941ZNN.bed.gz', 'ENCFF719DEJ.bigBed']	['ENCFF218MNX.bigWig', 'ENCFF978EYJ.tar.gz']	['ENCFF698NKH.bigWig', 'ENCFF428LUM.tar.gz']	['ENCFF958PSL.tar.gz']	['ENCFF613XTT.bigWig']	['ENCFF179WGC.bigWig']	['ENCFF408GVT.bigWig']	['ENCFF443EVW.bigWig']	[]	['ENCFF858NEU.bam', 'ENCFF684RJT.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR415DGO	in progress	BPNet-model	GRCh38	ENCSR237TFX	released	CTBP1 ChIP-seq on human HEK293T	Homo sapiens HEK293T	HEK293T	cell line	ChIP-seq	false	['ENCFF134RVJ.bigWig']	['ENCFF692PRN.tar.gz']	['ENCFF977WZT.bigWig']	['ENCFF941IUZ.tar.gz']	['ENCFF783GAX.bed.gz', 'ENCFF305EUJ.bigBed']	['ENCFF664MUR.bigWig', 'ENCFF348CTC.tar.gz']	['ENCFF123CWQ.bigWig', 'ENCFF199PPA.tar.gz']	['ENCFF721CPD.tar.gz']	['ENCFF199MXC.bigWig']	['ENCFF980TXH.bigWig']	['ENCFF414HMI.bigWig']	['ENCFF717AWG.bigWig']	['ENCFF991HPW.bam', 'ENCFF554ADY.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR190OJU	in progress	BPNet-model	GRCh38	ENCSR900XDB	released	ZFP36 ChIP-seq on human GM12878	Homo sapiens GM12878	GM12878	cell line	ChIP-seq	false	['ENCFF195FDM.bigWig']	['ENCFF608AMK.tar.gz']	['ENCFF520ZSU.bigWig']	['ENCFF406IAK.tar.gz']	['ENCFF339ZKD.bed.gz', 'ENCFF858ATR.bigBed']	['ENCFF218DQZ.bigWig', 'ENCFF990GCX.tar.gz']	['ENCFF759RVT.bigWig', 'ENCFF435OMI.tar.gz']	['ENCFF328MEP.tar.gz']	['ENCFF136YIS.bigWig']	['ENCFF038PIY.bigWig']	['ENCFF325BSP.bigWig']	['ENCFF875VIQ.bigWig']	[]	['ENCFF761RQU.bam', 'ENCFF974HJZ.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR432QIB	in progress	BPNet-model	GRCh38	ENCSR000EWD	released	SETDB1 ChIP-seq on human K562 treated with MNaseD	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF512EFE.bigWig']	['ENCFF188GLE.tar.gz']	['ENCFF385RLH.bigWig']	['ENCFF277ZIT.tar.gz']	['ENCFF511QFQ.bed.gz', 'ENCFF427WNQ.bigBed']	['ENCFF492YHX.tar.gz', 'ENCFF792PRI.bigWig']	['ENCFF380HOD.tar.gz', 'ENCFF746ZRP.bigWig']	['ENCFF507LTX.tar.gz']	['ENCFF577RQQ.bigWig']	['ENCFF002SXY.bigWig']	['ENCFF853XOC.bigWig']	['ENCFF977JFO.bigWig']	[]	['ENCFF661ZOM.bam', 'ENCFF586SAQ.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR192ZLA	in progress	BPNet-model	GRCh38	ENCSR000BUH	released	CBX3 ChIP-seq protocol v042211.1 on human HCT-116	Homo sapiens HCT116	HCT116	cell line	ChIP-seq	false	['ENCFF165CRL.bigWig']	['ENCFF230BBH.tar.gz']	['ENCFF969XUJ.bigWig']	['ENCFF603MQS.tar.gz']	['ENCFF568YUU.bed.gz', 'ENCFF945OKK.bigBed']	['ENCFF290FRJ.bigWig', 'ENCFF937SUQ.tar.gz']	['ENCFF569SST.bigWig', 'ENCFF056FIK.tar.gz']	['ENCFF368NVG.tar.gz']	['ENCFF281HSD.bigWig']	['ENCFF537ICB.bigWig']	['ENCFF608MGY.bigWig']	['ENCFF517WKX.bigWig']	[]	['ENCFF813HLG.bam', 'ENCFF220JTK.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR324FBD	in progress	BPNet-model	GRCh38	ENCSR850YDX	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB7A	HepG2	cell line	ChIP-seq	false	['ENCFF610TOK.bigWig']	['ENCFF975OJJ.tar.gz']	['ENCFF861PNT.bigWig']	['ENCFF864ZQV.tar.gz']	['ENCFF224UKL.bed.gz', 'ENCFF097MSB.bigBed']	['ENCFF009HOQ.bigWig', 'ENCFF903IFM.tar.gz']	['ENCFF589NFD.bigWig', 'ENCFF295MGI.tar.gz']	['ENCFF909DTU.tar.gz']	['ENCFF265MVW.bigWig']	['ENCFF337VIJ.bigWig']	['ENCFF720BJO.bigWig']	['ENCFF083NNU.bigWig']	[]	['ENCFF292HTE.bam', 'ENCFF811QMO.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR774IVK	in progress	BPNet-model	GRCh38	ENCSR277VIC	released		Homo sapiens HepG2	HepG2	cell line	ChIP-seq	false	['ENCFF156YQQ.bigWig']	['ENCFF029GFO.tar.gz']	['ENCFF908GGC.bigWig']	['ENCFF685AOI.tar.gz']	['ENCFF384TYX.bed.gz', 'ENCFF912DUH.bigBed']	['ENCFF265UTJ.bigWig', 'ENCFF625LSL.tar.gz']	['ENCFF451BDQ.bigWig', 'ENCFF786JRB.tar.gz']	['ENCFF307ZZU.tar.gz']	['ENCFF142MLX.bigWig']	['ENCFF728YBU.bigWig']	['ENCFF606QVN.bigWig']	['ENCFF301JVF.bigWig']	[]	['ENCFF966HKU.bam', 'ENCFF861ATS.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR770MQG	in progress	BPNet-model	GRCh38	ENCSR000BTL	released	POLR2AphosphoS5 ChIP-seq protocol v042211.1 on human HL-60	Homo sapiens HL-60	HL-60	cell line	ChIP-seq	false	['ENCFF892LSC.bigWig']	['ENCFF867RQP.tar.gz']	['ENCFF340DXN.bigWig']	['ENCFF059IAN.tar.gz']	['ENCFF699RTL.bed.gz', 'ENCFF373VUX.bigBed']	['ENCFF355JZA.bigWig', 'ENCFF568MXY.tar.gz']	['ENCFF129PDT.bigWig', 'ENCFF661FZK.tar.gz']	['ENCFF840UNO.tar.gz']	['ENCFF213OYK.bigWig']	['ENCFF756GCR.bigWig']	['ENCFF150FMG.bigWig']	['ENCFF413LPA.bigWig']	[]	['ENCFF288QAX.bam', 'ENCFF058LVP.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR101TSU	in progress	BPNet-model	GRCh38	ENCSR503GVO	released	ZFX ChIP-seq on human HCT116	Homo sapiens HCT116	HCT116	cell line	ChIP-seq	false	['ENCFF560GVF.bigWig']	['ENCFF746RHY.tar.gz']	['ENCFF123QMK.bigWig']	['ENCFF358RXF.tar.gz']	['ENCFF819CYO.bed.gz', 'ENCFF542ETB.bigBed']	['ENCFF952WLS.bigWig', 'ENCFF128NBI.tar.gz']	['ENCFF522PCE.bigWig', 'ENCFF915SKT.tar.gz']	['ENCFF130SMG.tar.gz']	['ENCFF656XWR.bigWig']	['ENCFF578YPG.bigWig']	['ENCFF077PQT.bigWig']	['ENCFF144YMZ.bigWig']	['ENCFF621OLI.bam', 'ENCFF525NMY.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR332BGD	in progress	BPNet-model	GRCh38	ENCSR343RJR	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens BRCA1	HepG2	cell line	ChIP-seq	false	['ENCFF342WMC.bigWig']	['ENCFF793YSS.tar.gz']	['ENCFF482TDG.bigWig']	['ENCFF702HCR.tar.gz']	['ENCFF765YXC.bed.gz', 'ENCFF194YCU.bigBed']	['ENCFF077WZF.bigWig', 'ENCFF189JKG.tar.gz']	['ENCFF560KGE.bigWig', 'ENCFF654PLD.tar.gz']	['ENCFF951XMT.tar.gz']	['ENCFF880BCR.bigWig']	['ENCFF892TRH.bigWig']	['ENCFF885YDL.bigWig']	['ENCFF135SIX.bigWig']	[]	['ENCFF790LSX.bam', 'ENCFF853ZLT.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR283GVY	in progress	BPNet-model	GRCh38	ENCSR959XNY	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens MED1	HepG2	cell line	ChIP-seq	false	['ENCFF805ABB.bigWig']	['ENCFF845XXB.tar.gz']	['ENCFF982WIB.bigWig']	['ENCFF475CSM.tar.gz']	['ENCFF525HNT.bed.gz', 'ENCFF891JIZ.bigBed']	['ENCFF141YGX.bigWig', 'ENCFF388ENG.tar.gz']	['ENCFF345QYL.bigWig', 'ENCFF003FGF.tar.gz']	['ENCFF106ACC.tar.gz']	['ENCFF462IRT.bigWig']	['ENCFF121PKI.bigWig']	['ENCFF917NJO.bigWig']	['ENCFF163HJO.bigWig']	[]	['ENCFF453HQI.bam', 'ENCFF628LEV.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR596JZQ	in progress	BPNet-model	GRCh38	ENCSR000ATA	released	ChIP-seq on human HUVEC EZH2	Homo sapiens endothelial cell of umbilical vein newborn	endothelial cell of umbilical vein	primary cell	ChIP-seq	false	['ENCFF225JRF.bigWig']	['ENCFF453MPL.tar.gz']	['ENCFF975RIY.bigWig']	['ENCFF685UAJ.tar.gz']	['ENCFF483BZY.bed.gz', 'ENCFF472BQL.bigBed']	['ENCFF475TWE.bigWig', 'ENCFF789DXI.tar.gz']	['ENCFF927OHU.bigWig', 'ENCFF091YRL.tar.gz']	['ENCFF409MPP.tar.gz']	['ENCFF882ADW.bigWig']	['ENCFF925RUQ.bigWig']	['ENCFF527YSF.bigWig']	['ENCFF864PVA.bigWig']	[]	['ENCFF256LPZ.bam', 'ENCFF072RZY.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR431UWA	in progress	BPNet-model	GRCh38	ENCSR000ASW	released	ChIP-seq on human Dnd41 EZH2	Homo sapiens DND-41	DND-41	cell line	ChIP-seq	false	['ENCFF011JJP.bigWig']	['ENCFF329BTK.tar.gz']	['ENCFF326JAY.bigWig']	['ENCFF556DHF.tar.gz']	['ENCFF988MKJ.bed.gz', 'ENCFF690CXI.bigBed']	['ENCFF434JEW.bigWig', 'ENCFF152ZYT.tar.gz']	['ENCFF312TMF.bigWig', 'ENCFF335HLN.tar.gz']	['ENCFF673CCO.tar.gz']	['ENCFF144PWH.bigWig']	['ENCFF934MDM.bigWig']	['ENCFF917NJO.bigWig']	['ENCFF163HJO.bigWig']	[]	['ENCFF750ZGL.bam', 'ENCFF372HDV.bam', 'ENCFF499KSN.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR902MYI	in progress	BPNet-model	GRCh38	ENCSR871TKJ	released	THRAP3 ChIP-seq on human K562	Homo sapiens K562	K562	cell line	ChIP-seq	false	['ENCFF727RTK.bigWig']	['ENCFF184CFM.tar.gz']	['ENCFF010MCZ.bigWig']	['ENCFF604VJE.tar.gz']	['ENCFF280UVC.bed.gz', 'ENCFF780JOS.bigBed']	['ENCFF321KUW.bigWig', 'ENCFF003MDX.tar.gz']	['ENCFF351TMJ.bigWig', 'ENCFF518GNY.tar.gz']	['ENCFF533VMI.tar.gz']	['ENCFF478INM.bigWig']	['ENCFF373ENO.bigWig']	['ENCFF552OQV.bigWig']	['ENCFF515XNL.bigWig']	['ENCFF843NNB.bam', 'ENCFF600OSO.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR790KTF	in progress	BPNet-model	GRCh38	ENCSR199XBQ	released	SMC3 ChIP-seq on A549 cell line treated with 100 nM dexamethasone for 8 hours.	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 8 hours	A549	cell line	ChIP-seq	true	['ENCFF870PKS.bigWig']	['ENCFF411CVD.tar.gz']	['ENCFF598BDS.bigWig']	['ENCFF871LEK.tar.gz']	['ENCFF262ZXI.bed.gz', 'ENCFF044XIS.bigBed']	['ENCFF034MOW.bigWig', 'ENCFF677OLY.tar.gz']	['ENCFF798BKZ.bigWig', 'ENCFF024OBD.tar.gz']	['ENCFF983AGV.tar.gz']	['ENCFF227KDB.bigWig']	['ENCFF496MRX.bigWig']	['ENCFF417BAR.bigWig']	['ENCFF278BAH.bigWig']	[]	['ENCFF843VJN.bam', 'ENCFF817EFH.bam', 'ENCFF796NUZ.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]
ENCSR644SAS	in progress	BPNet-model	GRCh38	ENCSR632SHZ	released	eGFP-NFE2L1 ChIP-seq on human K562	Homo sapiens K562 stably expressing NFE2L1	K562	cell line	ChIP-seq	false	['ENCFF064QIT.bigWig']	['ENCFF076LKE.tar.gz']	['ENCFF230GIA.bigWig']	['ENCFF055WEG.tar.gz']	['ENCFF088GPQ.bed.gz', 'ENCFF283YBJ.bigBed']	['ENCFF861MOV.bigWig', 'ENCFF686MFA.tar.gz']	['ENCFF729QTI.bigWig', 'ENCFF613JNG.tar.gz']	['ENCFF304QSY.tar.gz']	['ENCFF200VGN.bigWig']	['ENCFF910KRN.bigWig']	['ENCFF755OJQ.bigWig']	['ENCFF172VWD.bigWig']	['ENCFF702PRK.bam', 'ENCFF402YMJ.bam']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
