Annotation accession	Annotation status	Annotation type	Genome assembly	Experiment accession	Experiment status	Description	Biosample summary	Biosample term name	Biosample classification	Assay name	Perturbed	observed signal profile (minus strand)	training and test regions	observed signal profile (plus strand)	models	selected regions for predicted signal and sequence contribution scores	profile sequence contribution scores	counts sequence contribution scores	predicted signal profile	normalized observed signal profile (plus strand)	normalized observed signal profile (minus strand)	observed control profile (plus strand)	observed control profile (minus strand)	alignments	unfiltered alignments	sequence motifs	sequence motifs instances	sequence motifs report	predicted signal profile (plus strand)	predicted signal profile (minus strand)	normalized predicted signal profile (plus strand)	normalized predicted signal profile (minus strand)	bidirectional peaks	unidirectional peaks
ENCSR363NXQ	in progress	BPNet-model	GRCh38	ENCSR923WJS	released	Chip-Seq on sigmoid colon	Homo sapiens sigmoid colon tissue male adult (54 years)	sigmoid colon	tissue	ChIP-seq	false	['ENCFF892FKU.bigWig']	['ENCFF680FZL.tar.gz']	['ENCFF580BQJ.bigWig']	['ENCFF642RMH.tar.gz']	['ENCFF110LUL.bed.gz', 'ENCFF690OCI.bigBed']	['ENCFF383LKO.bigWig', 'ENCFF939PTF.tar.gz']	['ENCFF211VOX.bigWig', 'ENCFF038CSX.tar.gz']	['ENCFF756URT.tar.gz']	['ENCFF772BZP.bigWig']	['ENCFF020VHQ.bigWig']	['ENCFF832XSL.bigWig']	['ENCFF074YBB.bigWig']	['ENCFF929YUE.bam']	[]	['ENCFF749AMO.tar.gz']	['ENCFF584BJF.tar.gz']	['ENCFF736HMU.tar.gz']	['ENCFF948HKY.bigWig']	['ENCFF853BMR.bigWig']	['ENCFF964RVR.bigWig']	['ENCFF186TWL.bigWig']	[]	[]
ENCSR188STW	in progress	BPNet-model	GRCh38	ENCSR372JXR	released	Chip-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF511	HepG2	cell line	ChIP-seq	false	['ENCFF861FPG.bigWig']	['ENCFF999CXH.tar.gz']	['ENCFF885TNP.bigWig']	['ENCFF360WGM.tar.gz']	['ENCFF470LSJ.bed.gz', 'ENCFF554OJG.bigBed']	['ENCFF326VII.bigWig', 'ENCFF052UNK.tar.gz']	['ENCFF157QBZ.bigWig', 'ENCFF549ROL.tar.gz']	['ENCFF659JGU.tar.gz']	['ENCFF365QAE.bigWig']	['ENCFF192RFB.bigWig']	['ENCFF885YDL.bigWig']	['ENCFF135SIX.bigWig']	[]	['ENCFF342MVK.bam', 'ENCFF103HPW.bam']	['ENCFF309SXA.tar.gz']	['ENCFF579RYF.tar.gz']	['ENCFF920FXD.tar.gz']	['ENCFF080WDZ.bigWig']	['ENCFF809LBN.bigWig']	['ENCFF124SBF.bigWig']	['ENCFF147XDV.bigWig']	[]	[]
ENCSR018KJW	in progress	BPNet-model	GRCh38	ENCSR756SZU	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens KLF13	HepG2	cell line	ChIP-seq	false	['ENCFF979QOD.bigWig']	['ENCFF429NNU.tar.gz']	['ENCFF774IQR.bigWig']	['ENCFF108BLX.tar.gz']	['ENCFF366IBO.bed.gz', 'ENCFF548MRW.bigBed']	['ENCFF680UGP.bigWig', 'ENCFF337KEN.tar.gz']	['ENCFF276VMO.bigWig', 'ENCFF263YOP.tar.gz']	['ENCFF233DZW.tar.gz']	['ENCFF663WUK.bigWig']	['ENCFF809ZNF.bigWig']	['ENCFF449ZAM.bigWig']	['ENCFF328NOW.bigWig']	[]	['ENCFF478TZG.bam', 'ENCFF576ZAB.bam']	['ENCFF490PEY.tar.gz']	['ENCFF349SML.tar.gz']	[]	['ENCFF038SZV.bigWig']	['ENCFF516HJB.bigWig']	['ENCFF227GPU.bigWig']	['ENCFF799TDI.bigWig']	[]	[]
ENCSR119FPN	in progress	BPNet-model	GRCh38	ENCSR998OMC	released	eGFP-TFCP2 ChIP-seq on human K562	Homo sapiens K562 genetically modified (insertion) using CRISPR targeting H. sapiens TFCP2	K562	cell line	ChIP-seq	false	['ENCFF438AVR.bigWig']	['ENCFF066ASP.tar.gz']	['ENCFF268THN.bigWig']	['ENCFF986EKU.tar.gz']	['ENCFF746SGM.bed.gz', 'ENCFF375RSM.bigBed']	['ENCFF733MPO.bigWig', 'ENCFF926KKE.tar.gz']	['ENCFF266ILJ.bigWig', 'ENCFF339ODF.tar.gz']	['ENCFF296EME.tar.gz']	['ENCFF905HFI.bigWig']	['ENCFF940THC.bigWig']	['ENCFF048GTE.bigWig']	['ENCFF921PNO.bigWig']	['ENCFF610IQK.bam', 'ENCFF508QIX.bam']	[]	['ENCFF011IJE.tar.gz']	['ENCFF378IBU.tar.gz']	['ENCFF379EVS.tar.gz']	['ENCFF725XTE.bigWig']	['ENCFF436NKW.bigWig']	['ENCFF482UHA.bigWig']	['ENCFF578LVO.bigWig']	[]	[]
ENCSR077CRE	in progress	BPNet-model	GRCh38	ENCSR584DEL	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens ZNF543	HepG2	cell line	ChIP-seq	false	['ENCFF669HPS.bigWig']	['ENCFF784RHY.tar.gz']	['ENCFF961HMR.bigWig']	['ENCFF716JBW.tar.gz']	['ENCFF372TLJ.bed.gz', 'ENCFF934PGR.bigBed']	['ENCFF402PAX.bigWig', 'ENCFF834LQN.tar.gz']	['ENCFF609EQA.bigWig', 'ENCFF436JAT.tar.gz']	['ENCFF802ZNT.tar.gz']	['ENCFF586CZT.bigWig']	['ENCFF978AZU.bigWig']	['ENCFF490NWM.bigWig']	['ENCFF388KIY.bigWig']	[]	['ENCFF276GNV.bam', 'ENCFF521LTC.bam']	['ENCFF669UYA.tar.gz']	['ENCFF753HIK.tar.gz']	['ENCFF686EED.tar.gz']	['ENCFF307QLY.bigWig']	['ENCFF840MIG.bigWig']	['ENCFF192AYQ.bigWig']	['ENCFF763ZKY.bigWig']	[]	[]
ENCSR221ZYT	in progress	BPNet-model	GRCh38	ENCSR655ECZ	released	CTCF ChIP-seq on human vagina	Homo sapiens vagina tissue female adult (51 years)	vagina	tissue	ChIP-seq	false	['ENCFF125MBH.bigWig']	['ENCFF949YWF.tar.gz']	['ENCFF075UFA.bigWig']	['ENCFF655YAR.tar.gz']	['ENCFF733GTE.bed.gz', 'ENCFF159XVJ.bigBed']	['ENCFF304DUJ.bigWig', 'ENCFF132YTJ.tar.gz']	['ENCFF784VJE.bigWig', 'ENCFF482IPZ.tar.gz']	['ENCFF523OQK.tar.gz']	['ENCFF837YEE.bigWig']	['ENCFF792KJU.bigWig']	['ENCFF089KZZ.bigWig']	['ENCFF534PFG.bigWig']	['ENCFF745HAR.bam']	[]	['ENCFF489RWH.tar.gz']	['ENCFF403GNS.tar.gz']	['ENCFF616VGA.tar.gz']	['ENCFF356ZGU.bigWig']	['ENCFF781SIV.bigWig']	['ENCFF261AXS.bigWig']	['ENCFF524KTG.bigWig']	[]	[]
ENCSR263GYU	in progress	BPNet-model	GRCh38	ENCSR289PSX	released	ChIP-Seq on HepG2	Homo sapiens HepG2 genetically modified (insertion) using CRISPR targeting H. sapiens PRDM10	HepG2	cell line	ChIP-seq	false	['ENCFF383XSB.bigWig']	['ENCFF506NJS.tar.gz']	['ENCFF672YZJ.bigWig']	['ENCFF739OCH.tar.gz']	['ENCFF896TRG.bed.gz', 'ENCFF924SAZ.bigBed']	['ENCFF069MQH.bigWig', 'ENCFF993NXU.tar.gz']	['ENCFF223PFY.bigWig', 'ENCFF618VZI.tar.gz']	['ENCFF228XLM.tar.gz']	['ENCFF569KHE.bigWig']	['ENCFF670GKT.bigWig']	['ENCFF885YDL.bigWig']	['ENCFF135SIX.bigWig']	[]	['ENCFF994HXL.bam', 'ENCFF058ZDS.bam']	['ENCFF272ZQU.tar.gz']	['ENCFF905JSS.tar.gz']	['ENCFF563CFY.tar.gz']	['ENCFF743JOS.bigWig']	['ENCFF460QKY.bigWig']	['ENCFF536OZB.bigWig']	['ENCFF397BCX.bigWig']	[]	[]
ENCSR550FVE	in progress	BPNet-model	GRCh38	ENCSR773JBP	released	CTCF ChIP-seq on human esophagus squamous epithelium	Homo sapiens esophagus squamous epithelium tissue female adult (53 years)	esophagus squamous epithelium	tissue	ChIP-seq	false	['ENCFF797CZM.bigWig']	['ENCFF267ESG.tar.gz']	['ENCFF571JZJ.bigWig']	['ENCFF922JCM.tar.gz']	['ENCFF607IFB.bed.gz', 'ENCFF195YYK.bigBed']	['ENCFF732FGK.bigWig', 'ENCFF927YTN.tar.gz']	['ENCFF345YNL.bigWig', 'ENCFF079GCY.tar.gz']	['ENCFF825GUV.tar.gz']	['ENCFF653AXK.bigWig']	['ENCFF335PJF.bigWig']	['ENCFF700KUW.bigWig']	['ENCFF081AOQ.bigWig']	['ENCFF828JJG.bam']	[]	['ENCFF041MAE.tar.gz']	['ENCFF892ECB.tar.gz']	['ENCFF330TOI.tar.gz']	['ENCFF078FSJ.bigWig']	['ENCFF733MRC.bigWig']	['ENCFF045BVU.bigWig']	['ENCFF948DZK.bigWig']	[]	[]
ENCSR460WLC	in progress	BPNet-model	GRCh38	ENCSR000AUF	released	CTCF ChIP-seq on human A549 treated with 0.02% ethanol	Homo sapiens A549 treated with 0.02% ethanol for 1 hour	A549	cell line	ChIP-seq	true	['ENCFF189NMO.bigWig']	['ENCFF569LZQ.tar.gz']	['ENCFF094QAU.bigWig']	['ENCFF596BBG.tar.gz']	['ENCFF873WLU.bed.gz', 'ENCFF641YMK.bigBed']	['ENCFF314SGH.bigWig', 'ENCFF634NUR.tar.gz']	['ENCFF011SGF.bigWig', 'ENCFF570CJV.tar.gz']	['ENCFF893TKO.tar.gz']	['ENCFF351YUS.bigWig']	['ENCFF598ETP.bigWig']	['ENCFF974DEF.bigWig']	['ENCFF703DDK.bigWig']	[]	['ENCFF088LVH.bam']	['ENCFF367KQZ.tar.gz']	['ENCFF349ZHC.tar.gz']	['ENCFF995UDN.tar.gz']	['ENCFF154OCT.bigWig']	['ENCFF980LEN.bigWig']	['ENCFF570MFU.bigWig']	['ENCFF990ZBV.bigWig']	[]	[]
ENCSR086FPA	in progress	BPNet-model	GRCh38	ENCSR000EDS	released	MAX ChIP-seq on human HepG2 produced by the Snyder lab	Homo sapiens HepG2	HepG2	cell line	ChIP-seq	false	['ENCFF664YFD.bigWig']	['ENCFF123SNA.tar.gz']	['ENCFF378DEO.bigWig']	['ENCFF464IQV.tar.gz']	['ENCFF774RWG.bed.gz', 'ENCFF367EAH.bigBed']	['ENCFF168FBI.bigWig', 'ENCFF796APA.tar.gz']	['ENCFF974UJR.bigWig', 'ENCFF090UAN.tar.gz']	['ENCFF135AFO.tar.gz']	['ENCFF314ISM.bigWig']	['ENCFF421QXO.bigWig']	['ENCFF126KBZ.bigWig']	['ENCFF940QXJ.bigWig']	[]	['ENCFF742QWS.bam', 'ENCFF330UVQ.bam']	['ENCFF811ZIS.tar.gz']	['ENCFF268BNH.tar.gz']	['ENCFF436MOF.tar.gz']	['ENCFF578IKO.bigWig']	['ENCFF453XET.bigWig']	['ENCFF627FUR.bigWig']	['ENCFF386AKK.bigWig']	[]	[]
