Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile file (plus strand)	Annotation observed signal profile file (minus strand)	Annotation observed control profile file (plus strand)	Annotation observed control profile file (minus strand)	Annotation training and test regions file	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR000MUV	in progress	ENCSR683CSF	released	false		ZNF207 ChIP-seq on human HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF766FBO.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF259FLW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF040IVH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF274EEZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF793BNP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF164TPH.tar.gz	ENCFF940DLC,ENCFF573YWE	""
ENCSR000RSV	in progress	ENCSR656SIB	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZBED5	Chip-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF889VCV.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF108DJB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF028YTF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF885YDL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF135SIX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF026SJC.tar.gz	""	ENCFF600IRF,ENCFF076GZD
ENCSR000RSZ	in progress	ENCSR077TKJ	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZNF707	eGFP-ZNF707 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF680FDQ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF795WEM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF877DLZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF113NGO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF066XKC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF993QER.tar.gz	ENCFF495PKN,ENCFF005NOW	""
ENCSR001IUM	in progress	ENCSR711XNY	released	false		PKNOX1 ChIP-seq on human GM12878	EFO:0002784	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF738CJZ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF868QNF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF626YYS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF365EBM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF913IJL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF225WXW.tar.gz	ENCFF568MVO,ENCFF359OVA	""
ENCSR001VXW	in progress	ENCSR922HGS	released	false	female adult (90 or above years) with mild cognitive impairment	CTCF TF ChIP-seq on middle frontal area 46 tissue female adult (90 or above years) with mild cognitive impairment.	UBERON:0009834	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF132MEM.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF302YTU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF781VXM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF268PRY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF907BUG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF015BOS.tar.gz	""	ENCFF654JZP
ENCSR002PIA	in progress	ENCSR775YXE	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB37	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF469JDJ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF955ASZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF092FEL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF248JEL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF812IVG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF080OJL.tar.gz	""	ENCFF762KPC,ENCFF218LVT
ENCSR003EBX	in progress	ENCSR834XPX	released	false	male adult (55 years)	CTCF TF ChIP-seq on heart left ventricle tissue male adult (55 years).	UBERON:0002084	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF509EVZ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF835HDG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF247VES.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF949QGQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF623TQY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF850OZE.tar.gz	""	ENCFF532FAO
ENCSR003FXK	in progress	ENCSR168AUX	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens AHDC1	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF474PEU.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF461LKO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF839GNZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF449CJV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF225AZM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF726QXX.tar.gz	""	ENCFF943XWL,ENCFF968OLE
ENCSR003HGY	in progress	ENCSR407BEZ	released	false		ZHX2 ChIP-seq on human HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF797UZO.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF060OBZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF481AFJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF887NIE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF713JHN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF812EUA.tar.gz	""	ENCFF590LTX,ENCFF659TNX
ENCSR003PRH	in progress	ENCSR000EAG	released	true	treated with 25 ng/mL tumor necrosis factor for 6 hours	RELA ChIP-seq on human GM12878 treated with TNFa	EFO:0002784	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF320NUF.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF717GRK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF069RLB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF539CYE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF424OZF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF878VBE.tar.gz	""	ENCFF503FMC,ENCFF405FML,ENCFF694SNI,ENCFF595QCI
ENCSR003RGE	in progress	ENCSR473ASI	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ELF4	ChIP-Seq on WTC11	EFO:0009747	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF057QXD.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF449QCH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF272OKB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF146ICM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF867YWP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF427GEI.tar.gz	""	ENCFF009HVD,ENCFF716GXV
ENCSR003YBV	in progress	ENCSR415NNQ	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens THAP12	eGFP-THAP12 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF829NBG.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF186VHQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF274NLA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF884KEG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF754WSN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF690RYF.tar.gz	ENCFF907PQV,ENCFF972PVP	""
ENCSR004CYR	in progress	ENCSR879YNX	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ATF3	ChIP-Seq on WTC11	EFO:0009747	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF238HTG.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF814RCD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF876BSW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF608MGY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF517WKX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF557COE.tar.gz	""	ENCFF776HYU,ENCFF045FTE
ENCSR004LZD	in progress	ENCSR000BQN	released	false		TAF1 ChIP-seq protocol v041610.1 on human PFSK-1	EFO:0005234	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF304NKU.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF293OXO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF471THY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF957SAI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF688DFO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF675RFA.tar.gz	""	ENCFF841QDC,ENCFF620MBC
ENCSR004NJK	in progress	ENCSR219BXP	released	false		DPF2 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF452OVW.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF409VJE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF221ADR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF701QRI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF271SBY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF890LKV.tar.gz	ENCFF342FNA,ENCFF884ALE	""
ENCSR004XEX	in progress	ENCSR293QAR	released	false		MTA2 ChIP-seq on human GM12878	EFO:0002784	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF682BGG.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF712QPG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF345JEG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF116XKN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF121NQX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF251FXJ.tar.gz	ENCFF121RRZ,ENCFF803UWC	""
ENCSR005ANW	in progress	ENCSR906OMM	released	false	male adult (54 years)	Chip-Seq on esophagogastric junction	UBERON:0004550	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF450YDI.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF951KAP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF904DJA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF850PYO.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF034UHW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF085RIG.tar.gz	ENCFF885SJM	""
ENCSR005CWA	in progress	ENCSR693TYT	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZNF75D	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF462YGW.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF713LOW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF870WHQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF761UTX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF259WLQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF863WAD.tar.gz	""	ENCFF473POR,ENCFF899VNN
ENCSR005JEY	in progress	ENCSR474YDA	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens YEATS4	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF805NEV.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF947VWI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF313LOD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF588PUM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF035KEN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF411BWV.tar.gz	""	ENCFF749NDI,ENCFF331YKC
ENCSR005KCO	in progress	ENCSR663NFC	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens STAT5B	eGFP-STAT5B ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF458GUF.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF995VSE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF223CSI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF118FUS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF149NIH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF372SQI.tar.gz	ENCFF497ADV,ENCFF289VAI	""
ENCSR005QAD	in progress	ENCSR999JKC	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens HOXA3	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF800XXN.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF886OXT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF851VSA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF588PUM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF035KEN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF584VKF.tar.gz	""	ENCFF063RZF,ENCFF652CVT
ENCSR006HEA	in progress	ENCSR000DNA	released	false		CTCF ChIP-seq on human A549	EFO:0001086	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF967SPW.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF092MMB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF240DTK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF110OMC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF824EUJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF417PFR.tar.gz	""	ENCFF239TUG,ENCFF580PLB
ENCSR007AAR	in progress	ENCSR545FXC	released	false		ATF7 ChIP-seq on human HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF865EWL.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF489JOE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF680ZGR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF896BAY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF879DQY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF357XNK.tar.gz	ENCFF618OXF,ENCFF548BZJ	""
ENCSR007KOS	in progress	ENCSR126YJQ	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens HMG20A	eGFP-HMG20A ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF252CON.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF074JMY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF080CVF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF539YZC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF355DDX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF362AVP.tar.gz	ENCFF239OYN,ENCFF882PJT	""
ENCSR007ULB	in progress	ENCSR059BCO	released	true	genetically modified (insertion) using CRISPR inserting O. sativa LOC4335696, genetically modified (insertion) using CRISPR targeting H. sapiens CTCF		EFO:0002824	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF863HGZ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF125ZKX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF107WPR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF254NKE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF610QXB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF642QNV.tar.gz	""	ENCFF137WTK
ENCSR008DFV	in progress	ENCSR791AYW	released	false	female adult (51 years)	CTCF ChIP-seq on human heart left ventricle	UBERON:0002084	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF394PTA.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF311QAD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF580KST.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF643JHK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF359YXK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF953OPW.tar.gz	ENCFF977GYX	""
ENCSR008HTX	in progress	ENCSR352RXE	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens FOXK1	ChIP-Seq on WTC11	EFO:0009747	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF265NAL.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF324ETI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF075VQR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF514OZY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF364XZN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF702DUF.tar.gz	""	ENCFF101ANS,ENCFF704XKZ
ENCSR008MSX	in progress	ENCSR031KWR	released	false	female adult (53 years)	POLR2A ChIP-seq on human adrenal gland	UBERON:0002369	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF477PQM.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF967IMZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF540WLM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF290JYM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF268RMA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF489YIJ.tar.gz	ENCFF431JOS	""
ENCSR008NLN	in progress	ENCSR799GJD	released	false	female embryo (5 days)	CTCF ChIP-seq on nephron progenitor cell	NTR:0000512	in vitro differentiated cells	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF134RLQ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF848YSE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF699MVN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF163XIC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF096MJI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF220DNU.tar.gz	""	ENCFF473GWH,ENCFF653FMB
ENCSR008TMO	in progress	ENCSR260GQA	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZNF671	eGFP-ZNF671 ChIP-seq on human WTC11	EFO:0009747	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF491YPG.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF891QGF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF023MQQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF369KIW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF224GUD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF804VHQ.tar.gz	ENCFF688BJA,ENCFF778JNF	""
ENCSR008WWB	in progress	ENCSR107RHZ	released	false		YBX1 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF970VEY.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF305SDZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF106YZC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF701QRI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF271SBY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF463ZPF.tar.gz	ENCFF019PCQ,ENCFF861UEW	""
ENCSR008XLH	in progress	ENCSR029LBT	released	false		FOXP1 ChIP-seq on human HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF106OXH.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF765OQV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF975YPP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF164IQU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF855JDP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF455EDX.tar.gz	ENCFF662SJI,ENCFF321OQT	""
ENCSR010BYI	in progress	ENCSR992XTY	released	false			EFO:0009747	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF419IAY.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF825VAI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF218JJU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF532CZS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF038KLN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF256EAH.tar.gz	""	ENCFF318ICU,ENCFF324TCJ
ENCSR010IPY	in progress	ENCSR680OFU	released	false		EP300 ChIP-seq on human HeLa-S3	EFO:0002791	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF253FBH.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF036RCK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF323VSR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF925MZW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF254AUM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF369QHG.tar.gz	""	ENCFF146OEV,ENCFF196VYS
ENCSR010RMO	in progress	ENCSR000DOP	released	true	treated with 1.0 μM afimoxifene for 12.0 hours stably expressing SRC	FOS ChIP-seq on human MCF10A-Er-Src treated with 4-hydroxy-tamoxifen at 1uM for 12 hours	EFO:0001200	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF897KQB.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF511MPD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF113YSU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF900MAA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF362EEZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF665FRH.tar.gz	""	ENCFF987DPZ,ENCFF186ZRX
ENCSR010SJP	in progress	ENCSR581CVA	released	false		HNRNPH1 ChIP-seq in K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF726LMP.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF108YNK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF842WHU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF986PYY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF112PTE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF889EDX.tar.gz	""	ENCFF177KQJ,ENCFF547CZR
ENCSR010UWR	in progress	ENCSR000BTQ	released	false		RAD21 ChIP-seq protocol v042211.1 on human MCF-7	EFO:0001203	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF062ACP.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF508NII.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF827IIH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF199RKJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF360UTC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF610UEV.tar.gz	""	ENCFF692GDW,ENCFF056RQF
ENCSR011FAM	in progress	ENCSR511CUH	released	false	male embryo		CL:0002319	in vitro differentiated cells	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF398SNU.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF167UNS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF991ERZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF713GIH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF128FWD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF307HDX.tar.gz	""	ENCFF782LLI,ENCFF412OII
ENCSR011GCT	in progress	ENCSR030TJP	released	false		DACH1 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF221ZWA.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF661UDY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF333QMF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF950UFF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF851NDK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF175TFM.tar.gz	ENCFF544ZQU,ENCFF795UCF	""
ENCSR011GEQ	in progress	ENCSR796VBR	released	true	treated with 100 nM dexamethasone (agonist) for 1 hour	HES2 ChIP-seq on A549 cell line treated with 100 nM dexamethasone for 1 hours.	EFO:0001086	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF695MDS.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF339NPE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF671IQA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF558RGC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF358BDP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF279LIC.tar.gz	""	ENCFF669PVA,ENCFF450EAX,ENCFF300JNM
