Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile file (plus strand)	Annotation observed signal profile file (minus strand)	Annotation observed control profile file (plus strand)	Annotation observed control profile file (minus strand)	Annotation training and test regions file	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR171EVX	in progress	ENCSR481AIK	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZBTB3	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF933VLB.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF984PHG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF080OQF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF490NWM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF388KIY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF080PZN.tar.gz	""	ENCFF455SPD,ENCFF485XKV
ENCSR171FDR	in progress	ENCSR856QJP	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZNF775	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF525QOS.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF225WOA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF340NHH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF490NWM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF388KIY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF182TEK.tar.gz	""	ENCFF954YPL,ENCFF304SUG
ENCSR171GXO	in progress	ENCSR000BHT	released	false		TAF1 ChIP-seq protocol PCR1x on human HeLa-S3	EFO:0002791	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF371ALD.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF114VCC.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF285OIX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF867ODV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF887SHV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF755RKN.tar.gz	""	ENCFF693NDK,ENCFF656IGX
ENCSR171HUI	in progress	ENCSR000DOG	released	false		ATF3 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF076KSE.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF399UKS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF771YVZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF998FMX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF538WWM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF341PTA.tar.gz	""	ENCFF523JRK,ENCFF981LGN
ENCSR171JOI	in progress	ENCSR813KUE	released	false	male adult (78 years)	CTCF ChIP-seq on dorsolateral prefrontal cortex tissue male adult (78 years) originated from dorsolateral prefrontal cortex	UBERON:0009834	tissue	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF895BGQ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF047BZK.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF044ZSY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF391KPY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF211FFG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF239AFY.tar.gz	""	ENCFF809GOS
ENCSR171MQW	in progress	ENCSR000EEB	released	false		MAFK ChIP-seq on human HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF374XHY.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF805XVR.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF237TNA.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF126KBZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF940QXJ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF608CST.tar.gz	""	ENCFF668SQL,ENCFF601VOH
ENCSR171QCE	in progress	ENCSR387BVC	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens DDIT3	eGFP-DDIT3 ChIP-seq on human K562	EFO:0002067	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF451WMS.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF131NJV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF919DLN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF097AEZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF226UGW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF160ZSS.tar.gz	ENCFF698PFO,ENCFF669QFH	""
ENCSR171TAJ	in progress	ENCSR919OXR	released	true	treated with 100 nM dexamethasone (agonist) for 1 hour	NR3C1 (GR) ChIP-seq on A549 cell line treated with 100 nM dexamethasone for 1 hours.	EFO:0001086	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF136QUI.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF760MTQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF859MQU.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF603JFZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF606NGH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF942WWA.tar.gz	""	ENCFF116YDT,ENCFF579YBE,ENCFF880QAE
ENCSR171VVK	in progress	ENCSR422VAG	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens ZSCAN29	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF585NLR.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF630OMG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF495DRH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF490NWM.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF388KIY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF910XJB.tar.gz	""	ENCFF307LIZ,ENCFF093EQZ
ENCSR171ZEF	in progress	ENCSR000BUE	released	false		EP300 ChIP-seq protocol v042211.1 on human ECC-1. Note- This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells.	EFO:0005718	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF688SFB.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF662DUB.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF598PAV.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF527XUZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF245TZT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF951GYG.tar.gz	""	ENCFF448RZO,ENCFF795NJH
ENCSR172ILE	in progress	ENCSR906PEI	released	false		SP1 ChIP-seq on human HEK293T	EFO:0001184	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF123NLB.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF203NKF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF514APE.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF414HMI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF717AWG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF657KFN.tar.gz	ENCFF929XVY,ENCFF286NIW	""
ENCSR173HHH	in progress	ENCSR300DWM	released	false	female embryo (5 days)	CTCF ChIP-seq on osteocyte originated from osteocyte	CL:0000137	in vitro differentiated cells	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF026NJB.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF352VZQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF095VZQ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF763FKW.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF202ZKG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF581QQH.tar.gz	""	ENCFF758UJS,ENCFF101GHJ
ENCSR173YVF	in progress	ENCSR168DYA	released	false	genetically modified (insertion) using CRISPR targeting H. sapiens MAX	ChIP-Seq on HepG2	EFO:0001187	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF919EKJ.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF721CGH.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF272IGS.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF248JEL.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF812IVG.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF552OWK.tar.gz	""	ENCFF368BHE,ENCFF216JIG
ENCSR174BCS	in progress	ENCSR000BUU	released	false		REST ChIP-seq protocol v042211.1 on human ECC-1. Note- This experiment previously referred to its biosample as ECC-1, however it has been found that all currently available ECC-1 are actually Ishikawa cells.	EFO:0005718	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF374QPB.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF453YQP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF645TMF.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF527XUZ.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF245TZT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF133IZH.tar.gz	""	ENCFF456VHK,ENCFF343RKD
ENCSR174DOS	in progress	ENCSR000BJW	released	false		RXRA ChIP-seq protocol v041610.2 on human H1-hESC	EFO:0003042	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF389LOK.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF513POD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF058DVI.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF608KUY.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF547QWN.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF325TPV.tar.gz	""	ENCFF722VVN,ENCFF833YQO
ENCSR174DWA	in progress	ENCSR321BJQ	released	false			EFO:0001086	cell line	GRCh38	Homo sapiens	ChIP-seq	/data/zusers/ramirezc/all_bpnet_files/ENCFF867GHL.tar.gz	/data/zusers/ramirezc/all_bpnet_files/ENCFF334TFP.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF674RKX.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF765LMT.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF596TDD.bigWig	/data/zusers/ramirezc/all_bpnet_files/ENCFF653SMP.tar.gz	""	ENCFF297OPV,ENCFF129QOZ
