Annotation accession	Annotation status	Annotation type	Genome assembly	Experiment accession	Experiment status	Description	Biosample summary	Biosample term name	Biosample classification	Assay name	Perturbed	training and test regions	observed signal profile	models	alignments	unfiltered alignments	selected regions for predicted signal and sequence contribution scores	predicted signal profile	bias-corrected predicted signal profile	profile sequence contribution scores	counts sequence contribution scores	bias models	sequence motifs	sequence motifs instances	normalized observed signal profile	normalized predicted signal profile	normalized bias-corrected predicted signal profile	sequence motifs report
ENCSR000SWL	in progress	ChromBPNet-model	GRCh38	ENCSR969QKG	released		Homo sapiens naive thymus-derived CD4-positive, alpha-beta T cell male adult (48 years)	naive thymus-derived CD4-positive, alpha-beta T cell	primary cell	DNase-seq	false	['ENCFF612OGF.tar.gz']	['ENCFF141BVL.bigWig']	['ENCFF144BZU.tar.gz']	['ENCFF682STC.bam']	[]	['ENCFF785XJL.bed.gz', 'ENCFF527BAG.bigBed']	['ENCFF916FPQ.bigWig', 'ENCFF665AIO.tar.gz']	['ENCFF191JKG.bigWig', 'ENCFF723VJX.tar.gz']	['ENCFF767DLV.bigWig', 'ENCFF566EIS.tar.gz']	['ENCFF213THP.bigWig', 'ENCFF812JYN.tar.gz']	['ENCFF804BEL.tar.gz']	['ENCFF790HML.tar.gz']	['ENCFF259SNI.tar.gz']	['ENCFF335CST.bigWig']	['ENCFF549FUX.bigWig']	['ENCFF744HFF.bigWig']	['ENCFF261KGF.tar.gz']
ENCSR149DSA	in progress	ChromBPNet-model	GRCh38	ENCSR731DJH	released		Homo sapiens stimulated activated CD4-positive, alpha-beta T cell male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 100 ng/mL TNF-alpha for 24 hours	stimulated activated CD4-positive, alpha-beta T cell	primary cell	DNase-seq	false	['ENCFF470TIO.tar.gz']	['ENCFF367OJK.bigWig']	['ENCFF324QEH.tar.gz']	['ENCFF043DEC.bam']	[]	['ENCFF989QVU.bed.gz', 'ENCFF155MGJ.bigBed']	['ENCFF042WGC.bigWig', 'ENCFF690EAE.tar.gz']	['ENCFF863UVQ.bigWig', 'ENCFF421HJQ.tar.gz']	['ENCFF552JWO.bigWig', 'ENCFF742ACV.tar.gz']	['ENCFF241DAU.bigWig', 'ENCFF047EAS.tar.gz']	['ENCFF804BEL.tar.gz']	['ENCFF062BJG.tar.gz']	['ENCFF232NVK.tar.gz']	['ENCFF357HMJ.bigWig']	['ENCFF301SNE.bigWig']	['ENCFF920HOU.bigWig']	['ENCFF832TXU.tar.gz']
ENCSR932JUJ	in progress	ChromBPNet-model	GRCh38	ENCSR014FPY	released		Homo sapiens iPS DF 4.7	iPS DF 4.7	cell line	DNase-seq	false	['ENCFF296JOP.tar.gz']	['ENCFF364KAT.bigWig']	['ENCFF378TZM.tar.gz']	[]	['ENCFF500VCT.bam']	['ENCFF946PKE.bed.gz', 'ENCFF181UJN.bigBed']	['ENCFF304IBP.bigWig', 'ENCFF837SNY.tar.gz']	['ENCFF879ERJ.bigWig', 'ENCFF082JPR.tar.gz']	['ENCFF225EHO.bigWig', 'ENCFF400CJP.tar.gz']	['ENCFF770YAU.bigWig', 'ENCFF032UAM.tar.gz']	['ENCFF831SGP.tar.gz']	['ENCFF085CYO.tar.gz']	['ENCFF542SIJ.tar.gz']	['ENCFF790IFW.bigWig']	['ENCFF936YDC.bigWig']	['ENCFF571QET.bigWig']	['ENCFF630BBM.tar.gz']
ENCSR838QAY	in progress	ChromBPNet-model	GRCh38	ENCSR213WNV	released		Homo sapiens T-cell male adult (38 years)	T-cell	primary cell	DNase-seq	false	['ENCFF662POV.tar.gz']	['ENCFF209HMH.bigWig']	['ENCFF385GFZ.tar.gz']	['ENCFF967WOH.bam']	[]	['ENCFF676VHH.bed.gz', 'ENCFF381QUP.bigBed']	['ENCFF870BDK.bigWig', 'ENCFF400UKS.tar.gz']	['ENCFF282AGT.bigWig', 'ENCFF147LTD.tar.gz']	['ENCFF810GBL.bigWig', 'ENCFF685BXI.tar.gz']	['ENCFF879TTW.bigWig', 'ENCFF833MTM.tar.gz']	['ENCFF804BEL.tar.gz']	['ENCFF582CSI.tar.gz']	['ENCFF479UYP.tar.gz']	['ENCFF534AKO.bigWig']	['ENCFF610IWE.bigWig']	['ENCFF714DOM.bigWig']	['ENCFF358SST.tar.gz']
ENCSR792VQM	in progress	ChromBPNet-model	GRCh38	ENCSR607BTF	released	ATAC-seq on human right lobe of liver	Homo sapiens right lobe of liver tissue male adult (45 years)	right lobe of liver	tissue	ATAC-seq	false	['ENCFF880HPB.tar.gz']	['ENCFF358QRW.bigWig']	['ENCFF109RIX.tar.gz']	['ENCFF854OTB.bam']	[]	['ENCFF103WUG.bed.gz', 'ENCFF279OBD.bigBed']	['ENCFF873JNE.bigWig', 'ENCFF625VCJ.tar.gz']	['ENCFF465GKO.bigWig', 'ENCFF825TVW.tar.gz']	['ENCFF117EFG.bigWig', 'ENCFF802ZRD.tar.gz']	['ENCFF417ZHG.bigWig', 'ENCFF291BYL.tar.gz']	['ENCFF881REW.tar.gz']	['ENCFF189WNO.tar.gz']	['ENCFF444AVA.tar.gz']	['ENCFF557WGA.bigWig']	['ENCFF969HRZ.bigWig']	['ENCFF971EWF.bigWig']	['ENCFF429DAN.tar.gz']
ENCSR986OXA	in progress	ChromBPNet-model	GRCh38	ENCSR903SKE	released		Homo sapiens DND-41	DND-41	cell line	DNase-seq	false	['ENCFF651EYA.tar.gz']	['ENCFF492IQG.bigWig']	['ENCFF012JKU.tar.gz']	['ENCFF836RBO.bam', 'ENCFF758LRN.bam']	[]	['ENCFF265ALA.bed.gz', 'ENCFF278IPS.bigBed']	['ENCFF829SJI.bigWig', 'ENCFF694SPJ.tar.gz']	['ENCFF169HYJ.bigWig', 'ENCFF410QAE.tar.gz']	['ENCFF728QJK.bigWig', 'ENCFF053KNC.tar.gz']	['ENCFF737FVZ.bigWig', 'ENCFF304VMA.tar.gz']	['ENCFF831SGP.tar.gz']	['ENCFF092FGC.tar.gz']	['ENCFF016JPV.tar.gz']	['ENCFF793XLE.bigWig']	['ENCFF813CYP.bigWig']	['ENCFF288YVM.bigWig']	['ENCFF317OWG.tar.gz']
ENCSR651HIG	in progress	ChromBPNet-model	GRCh38	ENCSR622TWS	released		Homo sapiens fibroblast of skin of abdomen male embryo (97 days)	fibroblast of skin of abdomen	primary cell	DNase-seq	false	['ENCFF747SGQ.tar.gz']	['ENCFF042DTR.bigWig']	['ENCFF594PBU.tar.gz']	['ENCFF879OUC.bam']	[]	['ENCFF769PHQ.bed.gz', 'ENCFF313DCA.bigBed']	['ENCFF095RPX.bigWig', 'ENCFF885WPI.tar.gz']	['ENCFF341SVT.bigWig', 'ENCFF186SKW.tar.gz']	['ENCFF386BTT.bigWig', 'ENCFF006IXM.tar.gz']	['ENCFF042ZRC.bigWig', 'ENCFF821HNQ.tar.gz']	['ENCFF804BEL.tar.gz']	['ENCFF070YNX.tar.gz']	['ENCFF685MBQ.tar.gz']	['ENCFF766PTN.bigWig']	['ENCFF433PXH.bigWig']	['ENCFF661AIQ.bigWig']	['ENCFF326ILG.tar.gz']
ENCSR428ISQ	in progress	ChromBPNet-model	GRCh38	ENCSR140KPO	released		Homo sapiens T-cell female adult (33 years)	T-cell	primary cell	DNase-seq	false	['ENCFF348CJP.tar.gz']	['ENCFF331ICX.bigWig']	['ENCFF225GVO.tar.gz']	['ENCFF569KWY.bam']	[]	['ENCFF378GFS.bed.gz', 'ENCFF856OJI.bigBed']	['ENCFF664MPN.bigWig', 'ENCFF203MBB.tar.gz']	['ENCFF887OJB.bigWig', 'ENCFF847WSI.tar.gz']	['ENCFF496IRN.bigWig', 'ENCFF959HOE.tar.gz']	['ENCFF896UHT.bigWig', 'ENCFF143XOZ.tar.gz']	['ENCFF804BEL.tar.gz']	['ENCFF192HFD.tar.gz']	['ENCFF584EWZ.tar.gz']	['ENCFF130KDP.bigWig']	['ENCFF714DGV.bigWig']	['ENCFF715ILU.bigWig']	['ENCFF233ZEI.tar.gz']
ENCSR870KZC	in progress	ChromBPNet-model	GRCh38	ENCSR299BQG	released		Homo sapiens T-cell female adult (22 years)	T-cell	primary cell	DNase-seq	false	['ENCFF579CXX.tar.gz']	['ENCFF193XMX.bigWig']	['ENCFF458QLP.tar.gz']	['ENCFF126MXQ.bam']	[]	['ENCFF555MWU.bed.gz', 'ENCFF121POQ.bigBed']	['ENCFF331YCE.bigWig', 'ENCFF016CKI.tar.gz']	['ENCFF013MPS.bigWig', 'ENCFF607RAJ.tar.gz']	['ENCFF168ZGE.bigWig', 'ENCFF506BLT.tar.gz']	['ENCFF671ORQ.bigWig', 'ENCFF018YYZ.tar.gz']	['ENCFF804BEL.tar.gz']	['ENCFF962ZLX.tar.gz']	['ENCFF798KOI.tar.gz']	['ENCFF946ASL.bigWig']	['ENCFF462HBB.bigWig']	['ENCFF915OWS.bigWig']	['ENCFF405ZVM.tar.gz']
ENCSR710TZU	in progress	ChromBPNet-model	GRCh38	ENCSR248ZAC	released		Homo sapiens T-helper 17 cell male adult (42 years)	T-helper 17 cell	primary cell	ATAC-seq	false	['ENCFF472GAI.tar.gz']	['ENCFF822CVH.bigWig']	['ENCFF989RWN.tar.gz']	['ENCFF217PPB.bam']	[]	['ENCFF498NQH.bed.gz', 'ENCFF618KHU.bigBed']	['ENCFF275CRO.bigWig', 'ENCFF553ACG.tar.gz']	['ENCFF020ZZJ.bigWig', 'ENCFF960AET.tar.gz']	['ENCFF256PRZ.bigWig', 'ENCFF660WPK.tar.gz']	['ENCFF910TGU.bigWig', 'ENCFF803JAI.tar.gz']	['ENCFF881REW.tar.gz']	['ENCFF102RZX.tar.gz']	['ENCFF714GTT.tar.gz']	['ENCFF160MXW.bigWig']	['ENCFF010OQH.bigWig']	['ENCFF077CHH.bigWig']	['ENCFF099MZB.tar.gz']
