Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile	Annotation predicted signal profile	Annotation test and training regions	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR000SWL	in progress	ENCSR969QKG	released	false	male adult (48 years)		CL:0000895	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF144BZU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF141BVL.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF665AIO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF612OGF.tar.gz	ENCFF682STC	""
ENCSR001PBZ	in progress	ENCSR653ISV	released	false	female adult (33 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours		NTR:0000504	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF133QRN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF166RFN.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF570VBU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF159VOH.tar.gz	ENCFF391RDE	""
ENCSR001QFX	in progress	ENCSR624CTU	released	false			EFO:0010885	cell line	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF444WFV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF372FVO.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF809TJZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF273EUT.tar.gz	ENCFF614WUU	""
ENCSR001WKX	in progress	ENCSR820WLP	released	false	male embryo (15 weeks)		NTR:0005063	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF196UHE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF809JEF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF441EJU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF629FZY.tar.gz	ENCFF833UTG,ENCFF381FQU	""
ENCSR003PKQ	in progress	ENCSR385AMY	released	false	male embryo (120 days)		UBERON:0003663	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF234VMP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF733KIB.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF818EQN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF918PGG.tar.gz	""	ENCFF028KIR
ENCSR003WJE	released	ENCSR000EMT	released	false		DNase-seq on human GM12878	EFO:0002784	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF673TIN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF681PTG.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF005IJX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF574LOE.tar.gz	""	ENCFF467CXY,ENCFF940NSD
ENCSR003WRD	in progress	ENCSR226LVB	released	false	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 48 hours, 100 ng/mL Interleukin-4 for 48 hours		NTR:0000663	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF631KSZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF375DVF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF034HOT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF590APB.tar.gz	ENCFF431XJH	""
ENCSR004CWE	in progress	ENCSR559WMK	released	false	male embryo (72 days)	DNase-seq on 72 day old male human fetal tongue tissue	UBERON:0001723	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF538FAN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF186JJQ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF396QLE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF320XIX.tar.gz	ENCFF998LWC	""
ENCSR004IEV	in progress	ENCSR316UDN	released	false	male adult (37 years)		CL:0000625	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF016JSD.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF356DHB.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF541PMW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF676QSN.tar.gz	ENCFF580KMF	""
ENCSR004INR	in progress	ENCSR531UVE	released	false	male adult (42 years) treated with anti-CD3 and anti-CD28 coated beads for 1 hour, 100 ng/mL Interleukin-15 for 1 hour		NTR:0000663	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF814WJU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF240OZT.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF399AFH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF212AUN.tar.gz	ENCFF300YHK	""
ENCSR005GZQ	in progress	ENCSR329XFZ	released	false	treated with 100 ng/mL lipopolysaccharide for 30 minutes	ATAC-seq	CL:0000451	in vitro differentiated cells	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF324PML.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF018CDI.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF178DSZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF791DIK.tar.gz	ENCFF393SRG	""
ENCSR005MRB	in progress	ENCSR426TPQ	released	false	male child (3 years)		UBERON:0008450	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF530GCZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF422KJA.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF474DTV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF763BCW.tar.gz	ENCFF765JWE	""
ENCSR006CUK	released	ENCSR149XIL	released	false			EFO:0001187	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF615AKY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF160DXJ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF653KAI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF425GNN.tar.gz	ENCFF839SPF,ENCFF474LSZ	""
ENCSR006EOX	in progress	ENCSR000EPH	released	false		DNase-seq on human MCF-7 treated with estradiol at 100nM for 0 hour (control)	EFO:0001203	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF075WKX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF732OWD.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF427JMM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF799IWN.tar.gz	""	ENCFF812YNL,ENCFF429VEC
ENCSR006QRD	in progress	ENCSR552QUA	released	false	female adult (47 years)	ATAC-seq on human posterior vena cava	UBERON:0001072	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF894IYW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF214AAW.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF125BJP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF996XMP.tar.gz	ENCFF041FKK	""
ENCSR006UIC	in progress	ENCSR599JZA	released	false	female adult (86 years) with Alzheimer's disease		UBERON:0002740	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF732VHH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF902CDU.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF828PRL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF808RNR.tar.gz	ENCFF928JSC	""
ENCSR006WBH	in progress	ENCSR193LYA	released	false	female embryo (85 days)		UBERON:0002324	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF365QVM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF565CUI.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF019SVW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF771GOJ.tar.gz	""	ENCFF179NKT
ENCSR008JSY	in progress	ENCSR096BPX	released	false	female adult (51 years)	ATAC-seq on human esophagus squamous epithelium	UBERON:0006920	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF903CKK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF645CXZ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF270PLT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF166YRZ.tar.gz	ENCFF479ISR	""
ENCSR008KMQ	in progress	ENCSR000EOH	released	false		DNase-seq and DGF on human HPAF	CL:0002557	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF809RPO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF961WLA.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF930NHD.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF593PZL.tar.gz	""	ENCFF141EHE,ENCFF543ZKJ
ENCSR009FPS	in progress	ENCSR508FVM	released	false	male adult (54 years)		UBERON:0001323	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF536LAQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF146FKI.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF444JUX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF670RVL.tar.gz	ENCFF647TLU	""
ENCSR010APK	in progress	ENCSR207TUX	released	false	male embryo (15 weeks)		CL:0002639	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF867XHM.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF777HSR.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF282RJQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF183XEP.tar.gz	ENCFF506AZM	""
ENCSR010NWV	in progress	ENCSR271QID	released	false	female adult (90 or above years) with mild cognitive impairment		UBERON:0002626	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF838NUL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF063WHC.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF298JUU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF188BLM.tar.gz	ENCFF751SHB	""
ENCSR012HQM	in progress	ENCSR899YEP	released	false	male adult (61 years)	ATAC-seq on human heart left ventricle	UBERON:0002084	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF923XYN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF700BHG.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF130XGK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF445IPE.tar.gz	ENCFF771XJN	""
ENCSR012UEW	in progress	ENCSR577QZP	released	false	female adult (90 or above years) with Alzheimer's disease		UBERON:0002740	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF358XXA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF658ZPC.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF696MUP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF591IFG.tar.gz	ENCFF032RAK	""
ENCSR013BTY	in progress	ENCSR318WOD	released	false	male embryo (103 days)		UBERON:0002048	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF789WID.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF081PRM.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF284HBT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF462WSV.tar.gz	""	ENCFF772ZLT
ENCSR013SFC	in progress	ENCSR947VPG	released	false	male embryo (87 days)		UBERON:0002167	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF843QRX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF063VPZ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF217MLY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF538RXS.tar.gz	""	ENCFF544PUZ
ENCSR014DCO	in progress	ENCSR534OJE	released	false	male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 4 hours		NTR:0000504	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF034MWE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF509NZR.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF555JCQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF023RWQ.tar.gz	ENCFF360PGB	""
ENCSR014REV	in progress	ENCSR303PWB	released	false	female adult (47 years)	ATAC-seq on human esophagus mucosa	UBERON:0002469	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF489FUL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF762NJL.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF225TFJ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF205NKQ.tar.gz	ENCFF668XYA	""
ENCSR015SXE	in progress	ENCSR305QTE	released	false	male adult (47 years)		CL:0000623	primary cell	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF911DGX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF136CJH.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF895CZQ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF410CMY.tar.gz	ENCFF842XZR,ENCFF890QXV	""
ENCSR017RWH	in progress	ENCSR165FYY	released	false	male adult (36 years)		CL:0000907	primary cell	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF298IHN.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF991RGB.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF640BGG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF574PAK.tar.gz	ENCFF485AVO,ENCFF613OUT	""
ENCSR018RBZ	in progress	ENCSR177NIJ	released	false	male adult (37 years)		UBERON:0000945	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF182AAB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF210EFV.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF421DCL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF665GWV.tar.gz	ENCFF513MQT	""
ENCSR021IRM	in progress	ENCSR679IFH	released	false	embryo (112 days)		UBERON:0002106	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF299SLG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF846BJD.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF520KGR.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF205ISD.tar.gz	""	ENCFF708RJG
ENCSR021MKA	in progress	ENCSR452COS	released	false	male adult (50 years)		CL:0000895	primary cell	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF294RUJ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF051LTE.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF921LTG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF245XWK.tar.gz	ENCFF738VXT,ENCFF263BUK	""
ENCSR021QEF	in progress	ENCSR032NNU	released	false	female adult (59 years)		UBERON:0002079	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF306JCW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF595MMD.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF066FDV.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF239TUL.tar.gz	ENCFF857BLF	""
ENCSR022DFT	in progress	ENCSR713KNQ	released	false	female adult (41 years)		UBERON:0000947	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF476EYY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF678ODJ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF268MXI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF735JTZ.tar.gz	ENCFF381CDO	""
ENCSR022HSN	in progress	ENCSR805RJA	released	false	female adult (90 or above years) with Alzheimer's disease		UBERON:0009834	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF773UHK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF124TVV.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF794KCS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF266KDM.tar.gz	ENCFF120BYB	""
ENCSR022LQT	in progress	ENCSR134IUJ	released	false	female adult (90 or above years) with Alzheimer's disease		UBERON:0002626	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF882WVX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF360WFF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF146CDK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF538POC.tar.gz	ENCFF437IHI	""
ENCSR023VRN	in progress	ENCSR033DQS	released	false	male embryo (97 days)		UBERON:0001383	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF991VXW.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF438ZZF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF393AAG.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF170LIB.tar.gz	""	ENCFF408FZW
ENCSR024GLL	in progress	ENCSR223KKX	released	false	female adult (33 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 50 U/mL Interleukin-2 for 24 hours		NTR:0000537	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF316EGZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF385EAZ.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF404CLC.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF851WFW.tar.gz	ENCFF037RIQ	""
ENCSR024KJU	in progress	ENCSR937UWI	released	false	male adult (25 years) treated with interleukin-3 for 15 days, kit ligand for 15 days, hydrocortisone succinate for 15 days, erythropoietin for 15 days		CL:0000837	in vitro differentiated cells	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF555ZLD.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF702TNL.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF355PPS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF299LDT.tar.gz	ENCFF055PLA,ENCFF117JTR	""
ENCSR025EMG	in progress	ENCSR111LTT	released	false	male adult (55 years)		CL:0000084	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF285NSP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF670TVL.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF587CIL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF863VYV.tar.gz	ENCFF108ELD	""
ENCSR025GTZ	in progress	ENCSR236KPK	released	false	female adult (47 years)		UBERON:0001264	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF900RJH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF210YYB.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF918WHX.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF766NVO.tar.gz	ENCFF025CEB	""
ENCSR025USQ	in progress	ENCSR636DIR	released	false	male adult (35 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 30 ng/mL Interleukin-12 subunit beta for 36 hours, 10 ng/mL Interleukin-2 for 14 days, anti-CD3 and anti-CD28 coated beads for 14 days, 1 μg/mL Interleukin-4 antibody for 36 hours, 30 ng/mL Interleukin-12 subunit alpha for 36 hours		NTR:0000633	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF041KHD.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF971PXC.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF256SIP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF339PSY.tar.gz	ENCFF528SLH	""
ENCSR025VNG	in progress	ENCSR037PIU	released	false	male adult (80 years) with Cognitive impairment, Alzheimer's disease		UBERON:0002740	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF626PAS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF101QEY.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF848EOR.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF570FGR.tar.gz	ENCFF845QKE	""
ENCSR025YKH	in progress	ENCSR940CXU	released	false	male embryo		CL:0000223	in vitro differentiated cells	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF697JRE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF236EUW.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF516MBO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF677NCL.tar.gz	ENCFF953MMX	""
ENCSR026FFL	in progress	ENCSR222SCA	released	false	treated with 100 ng/mL lipopolysaccharide for 4 hours	ATAC-seq	CL:0000451	in vitro differentiated cells	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF789RIT.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF965KXF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF793XER.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF223EGY.tar.gz	ENCFF402MWZ	""
ENCSR027FLL	in progress	ENCSR656KLT	released	false	female embryo		UBERON:0001987	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF348BPO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF124YLB.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF337KXA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF074CVV.tar.gz	ENCFF299BOK	""
ENCSR029KQP	in progress	ENCSR543WNA	released	false	male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 4 hours, 100 ng/mL TNF-alpha for 4 hours		NTR:0000663	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF306WBC.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF604AIP.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF061EVE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF980JHU.tar.gz	ENCFF393PFY	""
ENCSR030ERX	in progress	ENCSR650TZF	released	false	female adult (90 or above years) with Alzheimer's disease		UBERON:0002626	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF688NEZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF850CQX.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF559XQI.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF210NDY.tar.gz	ENCFF072OFG	""
ENCSR030RSO	in progress	ENCSR284VNJ	released	false	male adult (38 years) treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 100 ng/mL Interleukin-15 for 24 hours		NTR:0000669	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF111CCE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF904AXX.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF922TPL.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF622CVP.tar.gz	ENCFF433CPM	""
ENCSR030TAD	in progress	ENCSR932KWJ	released	false		DNase-seq on cell line A172 (53 year old male human brain, glioblastoma)	EFO:0002101	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF180CSP.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF426QKH.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF793JRS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF060UNP.tar.gz	ENCFF479STA,ENCFF567HRE	""
ENCSR031MEP	in progress	ENCSR396EWH	released	false	male adult (43 years) treated with 10 ng/mL Interleukin-2 for 5 days, anti-CD3 and anti-CD28 coated beads for 7 days		NTR:0000497	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF517XJB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF794PUR.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF265LWE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF898ZHW.tar.gz	ENCFF410YVW	""
ENCSR031VGX	released	ENCSR292QBA	released	false	mixed sex embryo (11.5 days) strain B6NCrl C57BL/6	DNase-seq on 11.5 day (e11.5) embryonic mouse midbrain	UBERON:0001891	tissue	mm10	Mus musculus	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF858GDY.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF444JIR.bigWig	""	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF319XVZ.tar.gz	ENCFF989BPL	""
