Annotation accession	Annotation status	Experiment accession	Experiment status	Experiment peturbed	Biosample simple summary	Experiment description	Biosample term id	Biosample classification	Assembly	Organism	Assay term name	Annotation models file	Annotation observed signal profile	Annotation predicted signal profile	Annotation test and training regions	Annotation alignments file accessions	Annotation unfiltered alignments file accessions
ENCSR224PQP	in progress	ENCSR885WWJ	released	false	male adult (90 or above years) with Alzheimer's disease		UBERON:0002626	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF197YSB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF591IPT.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF113JUU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF048ADK.tar.gz	ENCFF593AXC	""
ENCSR226CPF	in progress	ENCSR884MCZ	released	false	female embryo (98 days)		UBERON:0004539	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF115RMA.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF417TEE.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF026MVZ.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF426IMN.tar.gz	""	ENCFF860UIJ
ENCSR226MTN	released	ENCSR282YTE	released	false	mixed sex embryo (11.5 days) strain B6NCrl C57BL/6	ATAC-seq on embryonic e11.5 mouse neural tube	UBERON:0001049	tissue	mm10	Mus musculus	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF031NTE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF021IOP.bigWig	""	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF819MHS.tar.gz	ENCFF742RLX,ENCFF267GKR	""
ENCSR226NMV	released	ENCSR652CNN	released	false	mixed sex embryo (12.5 days) strain B6NCrl C57BL/6	ATAC-seq on embryonic e12.5 mouse heart	UBERON:0000948	tissue	mm10	Mus musculus	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF054CFO.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF682IAX.bigWig	""	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF827VEC.tar.gz	ENCFF130FMW,ENCFF920ADT	""
ENCSR228EHT	in progress	ENCSR399OSE	released	false	female adult (47 years)	ATAC-seq on human heart left ventricle	UBERON:0002084	tissue	GRCh38	Homo sapiens	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF661VAE.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF007VCI.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF235WBK.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF855QUA.tar.gz	ENCFF160LDI	""
ENCSR228QKN	in progress	ENCSR859KGQ	released	false	female embryo (107 days)		UBERON:0002167	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF760DWU.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF836TQP.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF853DZS.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF889ZKH.tar.gz	""	ENCFF967QBL
ENCSR229BTC	in progress	ENCSR572FSS	released	false	male adult (38 years)		CL:0000624	primary cell	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF118ONR.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF072XYF.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF119PWC.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF985ARL.tar.gz	ENCFF340EAE	""
ENCSR229OZL	released	ENCSR785NEL	released	false	mixed sex embryo (11.5 days) strain B6NCrl C57BL/6	ATAC-seq on embryonic e11.5 mouse liver	UBERON:0002107	tissue	mm10	Mus musculus	ATAC-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF596GBF.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF469FBF.bigWig	""	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF086QYI.tar.gz	ENCFF573TTZ,ENCFF055IQW	""
ENCSR229TLU	in progress	ENCSR970ZLG	released	false	male embryo (87 days)		UBERON:0002108	tissue	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF995BUB.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF110WKS.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF446LSH.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF393ADE.tar.gz	""	ENCFF272EZX
ENCSR231LNG	in progress	ENCSR000ENO	released	false	G1b phase	DNase-seq on human HeLa-S3	EFO:0002791	cell line	GRCh38	Homo sapiens	DNase-seq	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF023FRD.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF722MOS.bigWig	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF533SGF.tar.gz	/data/zusers/ramirezc/all_chrombpnet_files/ENCFF798OKW.tar.gz	""	ENCFF610LUN,ENCFF956XRO
